,,"<6108990000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
,унисекс,"<6108910000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из хлопчатобумажной пряжи"
,,"<6108920000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
,,"<6108990000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
,без указания пола,"<6108910000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из хлопчатобумажной пряжи"
,,"<6108920000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
,,"<6108990000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
 ФУТБОЛКА ДОМАШНЯЯ,мужской,"<6207910000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6207991000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из химических нитей"
,,"<6207999000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
,женский,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
,унисекс,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
,без указания пола,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
 ФУТБОЛКА ПИЖАМНАЯ,мужской,"<6207910000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6207991000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из химических нитей"
,,"<6207999000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
,женский,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
,унисекс,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
,без указания пола,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
 ФУТБОЛКА-ПОЛО,мужской,"<6207910000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6207991000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из химических нитей"
,,"<6207999000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
,женский,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
,унисекс,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
,без указания пола,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
 ФУФАЙКА,мужской,"<6207910000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6207991000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из химических нитей"
,,"<6207999000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
,женский,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
,унисекс,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
,без указания пола,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
,,"<6109100000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из хлопчатобумажной пряжи"
,,"<6109902000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из шерстяной пряжи или пряжи из тонкого волоса животных или из химических нитей"
,,"<6109909000> Майки, фуфайки с рукавами и прочие нательные фуфайки трикотажные машинного или ручного вязания, из прочих текстильных материалов"
 ХАЛАТ,мужской,"<6107910000> Купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6107990000> Купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, мужские или для мальчиков, из прочих текстильных материалов"
,,"<6207210000> Ночные сорочки и пижамы мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6207220000> Ночные сорочки и пижамы мужские или для мальчиков, из химических нитей"
,,"<6207290000> Ночные сорочки и пижамы мужские или для мальчиков, из прочих текстильных материалов"
,,"<6207910000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6207991000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из химических нитей"
,,"<6207999000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из прочих текстильных материалов"
,женский,"<6108310000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, женские или для девочек, из хлопчатобумажной пряжи"
,,"<6108320000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
,,"<6108390000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
,,"<6108910000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из хлопчатобумажной пряжи"
,,"<6108920000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
,,"<6108990000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
,,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
,унисекс,"<6108310000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, женские или для девочек, из хлопчатобумажной пряжи"
,,"<6108320000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
,,"<6108390000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
,,"<6108910000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из хлопчатобумажной пряжи"
,,"<6108920000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
,,"<6108990000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
,,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
,без указания пола,"<6108310000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, женские или для девочек, из хлопчатобумажной пряжи"
,,"<6108320000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
,,"<6108390000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
,,"<6108910000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из хлопчатобумажной пряжи"
,,"<6108920000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
,,"<6108990000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
,,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
,,"<6208920000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из химических нитей"
,,"<6208990000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из прочих текстильных материалов"
 ХАЛАТ ДОМАШНИЙ,мужской,"<6107910000> Купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6107990000> Купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, мужские или для мальчиков, из прочих текстильных материалов"
,,"<6207210000> Ночные сорочки и пижамы мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6207220000> Ночные сорочки и пижамы мужские или для мальчиков, из химических нитей"
,,"<6207290000> Ночные сорочки и пижамы мужские или для мальчиков, из прочих текстильных материалов"
,,"<6207910000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из хлопчатобумажной пряжи"
,,"<6207991000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из химических нитей"
,,"<6207999000> Майки и нательные фуфайки прочие, купальные халаты, домашние халаты и аналогичные изделия мужские или для мальчиков, из прочих текстильных материалов"
,женский,"<6108310000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, женские или для девочек, из хлопчатобумажной пряжи"
,,"<6108320000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
,,"<6108390000> Ночные сорочки и пижамы трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
,,"<6108910000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из хлопчатобумажной пряжи"
,,"<6108920000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из химических нитей"
,,"<6108990000> Пеньюары, купальные халаты, домашние халаты и аналогичные изделия трикотажные машинного или ручного вязания, женские или для девочек, из прочих текстильных материалов"
,,"<6208910000> Майки и нательные фуфайки прочие, трусы, панталоны, пеньюары, купальные халаты, домашние халаты и аналогичные изделия женские или для девочек, из хлопчатобумажной пряжи"
